Population,DayCount,Weight,TargetValue
2726,120,0.12640695071476896,0
14651,120,0.10424993495675172,0
13975,120,0.1047658306170006,0
86,120,0.2239186238120062,0
1332,120,0.13898178817325949,0
24932,120,0.09877569983304467,1
121154,120,0.08543484544710186,4
15570000,120,0.060383349947897264,0
10281,120,0.1082467801604879,0
25062,120,0.09872498718730888,0
26937,120,0.09802678734890426,7
3191,120,0.12394026489937135,0
48203,120,0.0927368732713563,3
20627,120,0.10066028460794586,0
20157,120,0.10089436283507268,0
696,120,0.15274672029976194,0
26225,120,0.0982848645976872,3
2216,120,0.12980421276870052,0
55155000,120,0.0560989109714273,0
86085,120,0.08800413772134047,0
23528,120,0.09934443618009556,2
27036,120,0.09799154974073504,0
39598700,120,0.05716145299606019,410
7535591,120,0.0631506571916681,146
9207,120,0.10955508861842536,1
95379,120,0.08721723154947178,1
64697,120,0.0902731936639846,5
12245,120,0.10623656854739356,0
17624,120,0.10228009300951146,0
37667,120,0.09490757998281897,1
122273473,120,0.05370058610194239,2973
4736,120,0.11815918431956395,0
7426,120,0.11219721395507942,0
4046,120,0.12039879241900812,0
11004,120,0.1074563419012547,0
51527,120,0.0921669126385068,3
162466,120,0.08334562554064942,5
47632,120,0.09283946754533773,0
10650,120,0.10783520851486146,1
29898,120,0.09703480731125637,0
1751693,120,0.0695599241704935,0
16159,120,0.10319603984473186,0
18135000,120,0.059832393720267135,16
26868,120,0.09805143861816666,0
49025,120,0.09259168340559458,0
83020000,120,0.05484082088719254,0
15092,120,0.10392864474668954,1
8020,120,0.11123695246977253,0
35595,120,0.09541995157111104,0
26586,120,0.09815298024924828,0
305506,120,0.07917826910672758,18
25449,120,0.09857586441258827,0
126903,120,0.08509779227266684,8
10545,120,0.10795053626871162,0
656590,120,0.07465574420171966,54
26108,120,0.09832807502221652,4
7888,120,0.11144265718797627,0
994205,120,0.07241287074820821,62
23018,120,0.0995611816937956,0
3572665,120,0.06627422317475222,191
25127,120,0.09869974884188144,2
87808,120,0.0878509260582513,0
22671331,120,0.05904368672891588,70
17708,120,0.10223037790283204,1
41503,120,0.09404201438066233,0
55508,120,0.09153904221981003,0
8445,120,0.11060175028977258,0
15574,120,0.10359020504859733,0
51439,120,0.09218143472434412,0
7044,120,0.11286588181692254,0
15642,120,0.10354347718161178,4
17231,120,0.10251654120404308,0
152882,120,0.08377013734299864,26
51054,120,0.09224531663207386,0
14553,120,0.10432292122394403,0
541638,120,0.07574406228897261,0
398329,120,0.07754922074636718,0
3943079,120,0.06584373974764081,148
14106,120,0.10466353053486893,0
56590,120,0.09137756506954024,1
258705000,120,0.05162303072325351,973
20605,120,0.10067109795670373,0
19964,120,0.1009923914383214,0
65327652,120,0.05557122052422537,3
9564,120,0.10910043992434104,0
10803,120,0.10766961093105566,0
18191900,120,0.05982118113866688,3964
638931,120,0.0748080053771374,184
446499,120,0.07686870899021005,0
44451,120,0.09343903575647698,2
17526,120,0.10233845594551888,0
1476601,120,0.07039648821283565,142
3657,120,0.12188177916774486,0
75432,120,0.08903926533313042,14
12229,120,0.1062513262240198,0
40882,120,0.09417552970858532,0
974563,120,0.07251765466888774,0
5951,120,0.1150551693795382,0
32304,120,0.09631148865036918,0
1298,120,0.139482658494109,0
30981,120,0.09670093476376997,1
37689,120,0.0949023210083954,8
11137,120,0.10731780857973518,0
20257,120,0.10084401340296137,4
45605,120,0.09321580441039866,1
3718678,120,0.06609875036485865,32
76117,120,0.08896765454925139,1
40889,120,0.09417401130490813,4
18564000,120,0.05974881062318607,0
33861,120,0.09587682922482263,0
43616,120,0.09360489256994332,10
171907,120,0.08295509454043856,7
54666,120,0.0916673001851176,1
12113,120,0.10635902432284518,0
9894888,120,0.062082769183169226,649
23503349,120,0.058918306362360326,0
1850,120,0.1329171906533171,0
34637,120,0.09566900095294904,0
17958,120,0.10208408059094744,0
26118,120,0.09832437277575064,8
9642,120,0.10900385414370843,0
29118,120,0.09728434486009102,18
180786,120,0.08260998091538804,28
558753,120,0.0755660011536314,120
8062,120,0.11117236739825044,0
23491,120,0.0993599705968421,0
100060000,120,0.05428504256161299,0
21933,120,0.10004208547121636,0
4991,120,0.11743164897555725,0
16233,120,0.10314740816791867,8
40372,120,0.0942869951659467,0
79369900,120,0.05497638008242922,2392
28907,120,0.09735322238568156,1
1418207,120,0.0705970159310813,0
18453,120,0.10180151598903348,0
58595,120,0.09108777436910308,1
8341600,120,0.06274798898488533,36
6489,120,0.11392093541837875,0
20934,120,0.10051081931782986,0
12125,120,0.10634782526159993,0
30104,120,0.0969701995701338,0
43690000,120,0.05684198496840096,0
391911,120,0.07764703033628141,16
58758,120,0.0910647320288024,0
66911,120,0.08999981782231904,4
190488,120,0.08225476952484326,15
19620,120,0.10116997306943662,10
293582,120,0.07942864956696896,14
35684,120,0.09539722042377588,0
22124,120,0.09995538521491362,0
12369,120,0.10612298344956728,0
50104,120,0.09240541957579744,0
22747,120,0.09967871051234492,0
43425,120,0.0936433611141734,0
10630,120,0.10785706885305052,3
2636,120,0.1269454841927215,0
10383620,120,0.061897504320865486,250
8793,120,0.1101100280542784,0
1780,120,0.1336017787944573,0
99755,120,0.08687733128903964,0
3453,120,0.12274022573478326,0
759297,120,0.07385442771709869,59
59463,120,0.09096593331774924,0
14349,120,0.10447677527107968,0
17631,120,0.10227593919330613,1
14581,120,0.10430200753524077,0
4230,120,0.11975770165686715,0
18295,120,0.1018907070307487,1
3309,120,0.12338514344201924,0
17076,120,0.1026115900725542,0
41753,120,0.09398893278409873,0
34915,120,0.09559589285823236,0
17894,120,0.10212129808820687,0
36960,120,0.09507855720715214,0
142878,120,0.08424774858721305,3
15457,120,0.10367118376789627,0
44890,120,0.09335331311133588,3
97947,120,0.08701560151459183,0
250873,120,0.08043301208548899,33
4531,120,0.11878010049524301,0
1262879,120,0.07117992274841647,0
78981,120,0.08867626089229791,2
15638,120,0.10354621908702237,0
67653,120,0.08991057868103049,6
229247,120,0.08102047120390188,3
46091,120,0.09312378898088496,0
58236,120,0.09113879239419784,0
10916,120,0.10754912604510676,0
5611179,120,0.06434893971750927,530
34375,120,0.09573854408260607,1
86878,120,0.08793317931345214,0
9101000,120,0.062406799480209635,210
35589,120,0.09542148644262567,0
141879,120,0.08429757885389841,4
10071,120,0.10848911512802616,1
2482,120,0.1279226686303266,0
31670,120,0.09649569407607096,1
144657,120,0.08416001177732077,6
43960,120,0.09353611077487213,0
292406,120,0.07945397987846617,7
15561,120,0.10359916635981067,0
118302,120,0.08560907649670844,8
52646,120,0.09198477308891892,6
12388,120,0.10610570126046484,1
201513,120,0.08187584680457265,3
25301,120,0.0986325706363276,0
47188,120,0.09292025614266627,0
76576,120,0.08892009352210728,4
8937,120,0.10991345587660907,0
93649,120,0.08735669357712685,10
5737,120,0.1155419391125898,0
6147,120,0.1146278672732186,0
811688,120,0.0734922736284661,31
37883543,120,0.057306500339179535,153
97984,120,0.08701274192230048,0
11231,120,0.10722110412237958,0
20940,120,0.1005079244470963,0
30693,120,0.09678834517776062,1
2751,120,0.12626129989638746,0
21315,120,0.10032894607331676,1
37684,120,0.0949035159090846,0
137744,120,0.08450828420119844,1
8531,120,0.11047796093995556,1
425384,120,0.07715602925427792,15
43837,120,0.09356063065091293,0
21175,120,0.10039531917985707,0
170872,120,0.08299667206848664,1
10070,120,0.10849028377369922,0
78014,120,0.08877323594663196,0
26797,120,0.0980768835860252,0
18069,120,0.10201990866224178,0
16172,120,0.10318747701330136,0
4190669,120,0.06558077501892626,3
29025,120,0.09731462947332847,3
103868,120,0.0865734472679876,20
15860,120,0.10339531024276677,1
319785,120,0.0788929283492252,6
40711,120,0.09421271839186343,1
937166,120,0.07272401059933455,97
21672,120,0.1001620368828751,0
46138,120,0.09311495144820096,0
28572,120,0.09746382086841553,0
25126,120,0.0987001365318103,1
323152,120,0.07882779179966154,5
3175692,120,0.06679564266606279,99
20211,120,0.1008671369591477,2
122437,120,0.08535802527754506,1
1961600,120,0.06901658220829886,9
3737,120,0.12156124528516808,0
24748,120,0.09884802156708844,0
93088,120,0.08740256894079343,0
64072,120,0.0903523696917336,13
6623,120,0.11365632199563712,0
34969,120,0.09558177242662932,33
11568,120,0.10688231943410692,0
23194,120,0.09948573815137328,0
26741,120,0.09809700980720903,0
9605,120,0.109049551367789,0
2171,120,0.1301506521733144,0
21566,120,0.10021124884348556,1
517421,120,0.07600739786255653,22
5712,120,0.11560026021750963,0
121829,120,0.08539431145295913,5
310569,120,0.07907535856171262,9
26404,120,0.09821920078150856,4
300576,120,0.07928039255479168,27
14439,120,0.10440857467327846,0
4922,120,0.11762390241677828,0
136215,120,0.08458807662945354,15
1155,120,0.1417892460256667,0
10264,120,0.10826617286442324,0
7150,120,0.11267596129603387,0
27277,120,0.09790641048310852,0
5739,120,0.11553728694241792,0
15024,120,0.10397744116063548,0
22383,120,0.09983924187880162,0
51787,120,0.09212417747793436,2
2180085,120,0.06851720264684043,189
40651,120,0.0942258110688399,3
14590,120,0.1042952955836788,1
11580,120,0.10687047746551917,0
25388,120,0.09859918862430424,3
25925,120,0.09839612733036243,4
132230,120,0.08480105823288883,0
30822,120,0.09674907208823784,1
50621,120,0.0923178483214966,6
10558524,120,0.06183357263876892,33
22802,120,0.09965472244410767,13
48590,120,0.09266815482764927,0
37009,120,0.09506658221843754,0
8806,120,0.11009212120422864,0
1316756,120,0.07096888339536067,92
5192,120,0.11688979387923032,0
628270,120,0.07490228876008381,64
11392,120,0.10705773388653532,0
38280,120,0.09476239731261364,1
342139,120,0.07847460874092156,6
106721,120,0.08637083284798698,7
10101,120,0.1084541212735938,1
12426,120,0.10607123306963036,0
44142,120,0.09349997834291753,1
41569,120,0.09402796400759128,0
8630,120,0.1103373319257036,0
21039,120,0.10046030240641438,0
5436,120,0.1162657841419116,0
42406,120,0.09385204601651544,0
